Country,KDI_Pop_2012,KDI_GNIT_2012,KDI_GNIP_2012,KDI_PPPT_2012,KDI_PPPP_2012,KDI_GDP_2012,SR_NH_1993_2002,SR_NH_2003_2012,SR_EPI_1993_2002,SR_EPI_2003_2012,SR_AMM_2007_2011,SR_AMF_2007_2011,SR_RPI_2013,RMH_EP_2010,RMH_ES_2010,RMH_ET_2010,RMH_MM_2010,RMH_S_2011,RMF_PHI_2011,RMF_PAI_2011,RMF_IA_2005_2010,RMF_BS_2000,RMF_BS_2011,% of GDP,RMF_C_2011,RMF_IP_2000,RMF_IP_2011,RMF_DR_2000,RMF_DR_2011,RME_IR_2005_2007,RME_IR_2010_2012,,RME_WWGI_2011,DCI_DE_1993_2002,DCI_DE_2003_2012,DCI_DA_1993_2002,DCI_DA_2003_2012
Afghanistan,30,16.6,570,40.7,1400,4.4,26,62,18,3,406.67,373.63,10.69,8.2,5.15,5.26,460,14.55,0.09,10.78,0,0,0,0,0,0,0,0,0,0,33.79,-1.75,0.75,45.07,7.06,0,0.16
Albania,3,12.9,4090,29.7,9390,0.5,6,6,2,0,93.41,45.48,60.06,9.55,30.59,4.98,27,22.74,11.16,73.28,1.38,43.76,66.7,4.67,38.97,0.36,0.57,10.67,58.43,19.08,19.89,-0.2,2.3,0.33,0.16,0.06,0
Algeria,38,155.1,4110,285,7550,0.6,17,29,1,0,123.44,99.45,59.43,1.41,34.46,5.62,97,20.86,3.52,0,0.86,26.15,45.65,5.95,14.52,0.46,0.56,22.75,31.8,70.67,97.92,-0.93,1.57,4.19,7.54,0.08,0.36
Angola,21,95.4,4580,114.3,5490,3.5,9,22,7,9,381.7,332.87,0,0,0,0,450,36.59,3.11,0,1.17,25.61,52.75,1.97,21.6,0.86,0.97,7.68,40.96,16.81,26.95,-1.06,1.44,1.29,2.03,0.02,0
Armenia,3,11.1,3720,20.8,6990,7,4,1,0,0,159.86,77.86,58.5,4.75,64.64,12.71,30,10.54,0.6,5.93,0.4,8.92,20.41,9.93,34.31,0.12,0.54,111.31,168.09,16.16,19.12,-0.28,2.22,0.13,0.03,0.75,0
Australia,23,1351.2,59570,982.16,43300,1.8,47,46,0,1,80.6,47.28,94.4,2.11,38.95,22.35,7,68.27,0,0,33.89,61.27,99.19,84.56,124.12,8.82,5.27,138.02,125.13,5.6,3.35,1.63,4.13,0.44,0.37,0.2,0.18
Austria,8,407.6,48160,373.19,44100,0.4,11,8,0,0,99.78,48.49,80.49,17.24,45.26,9.52,4,78.35,0,0,34.05,80.42,95.01,102.19,118.9,4.75,4.61,127.07,125.15,4.23,4.96,1.49,3.99,0.25,0.11,0.12,0.06
Azerbaijan,9,56.3,6050,87.5,9410,3.1,8,5,0,0,177.87,68.36,48.82,0,0,0,43,10.81,1.06,19.5,0.71,10.56,13.36,5.9,17.88,0.27,0.31,55.86,133.85,11.25,15.03,-0.84,1.66,0.62,0.03,0.35,0.01
Bangladesh,155,129.2,840,319.9,2070,5.1,80,55,10,4,160.59,134.01,34.41,21.45,18.36,2.98,240,26.83,2.1,0,2.1,29.78,54.23,24.34,48.58,0.47,1.08,81.74,89.57,6.22,9.91,-0.87,1.63,4.62,5.25,1.44,0.68
Belarus,9,61.8,6530,143.9,15210,1.6,4,1,2,0,334.25,112.17,78.48,0,0,0,4,26.44,3.06,4.71,0.82,14.94,35.94,8.79,41.75,0.59,0.79,58.81,116.16,5.81,10.17,-1.01,1.49,0.07,0,0.09,0
Belgium,11,501.3,44990,447.57,40170,-1.1,13,9,0,0,107.23,61.09,85.93,11.13,33.31,20.4,8,57.81,0,0,65.41,82.28,106.13,77.82,92.59,7.36,7.59,94.58,87.24,3.38,5.08,1.37,3.87,0.16,0.1,0.01,0.02
Benin,10,7.5,750,15.8,1570,2.6,6,8,11,8,327.49,271.42,23.65,10.1,12.43,1.96,350,32.36,0.71,1.4,1.86,15.55,29.66,11.55,25.29,0.62,0.8,74.27,85.27,18.79,13.3,-0.29,2.21,0.52,0.95,0.01,0
Bolivia,10,23.3,2220,52.1,4960,3.5,12,15,4,4,220.92,164.26,39.42,11.82,35.51,9.49,190,44.23,3.73,4.25,4.04,46.14,44.67,58.72,36.77,0.79,0.97,127.25,82.33,29.06,47.58,-0.54,1.96,3.96,3.1,0.34,0.45
Bosnia and Herzegovina,4,17.8,4650,36,9380,-0.6,3,9,1,0,132.03,67.95,60.49,0,0,0,8,13.54,3.83,3.66,0,16.6,41.61,40.77,48.16,1.95,1.9,73.24,115.74,28.62,24.9,-0.43,2.07,0,0.18,0.38,0.12
Brazil,199,2311.1,11630,2328.8,11720,0,30,47,7,3,213.62,112.06,57.62,26.17,25.11,5.2,56,21.09,7.62,11.23,7.54,44.26,66.5,31.66,58.01,1.39,2.42,71.53,87.22,9.06,14.69,0.13,2.63,0.24,1.12,0,0.05
Bulgaria,7,50.2,6870,112.4,15390,1.4,6,15,0,0,196.96,88.26,75.59,24.38,27.13,12.08,11,10.9,3.93,2,3.6,22.73,63.9,12.26,71.99,1.34,2.04,53.95,112.66,35.72,34.75,0.18,2.68,0.04,0.73,0,0.09
Burkina Faso,16,10.9,670,24.9,1510,6.9,5,11,7,9,295.73,245.53,37.57,0,0,0,300,37.97,0.81,0.54,0.69,13.1,26.76,11.7,20.76,0.61,0.44,89.36,77.6,10.92,10.21,-0.38,2.12,0.26,0.69,0,0.18
Burundi,10,2.4,240,5.5,560,0.7,5,27,10,2,410.46,372.92,22.45,20.7,3.35,0.55,800,25.16,3.47,7.63,0,14.45,19.03,20.8,19.16,0.44,0.19,143.95,100.71,10.79,13.78,-1.19,1.31,0.09,2.09,0,0
Cambodia,15,13,880,35.1,2360,5.4,11,11,4,3,257.57,216.97,29.7,33.26,5.27,0.5,250,31.05,2.64,14.31,0.52,18.65,32.29,6.38,28.81,0,0.15,34.2,89.23,20.86,31.99,-0.78,1.72,8.81,2.23,1.01,0.57
Cameroon,22,25.4,1170,50.3,2320,2.1,6,7,10,6,403.79,372.25,36.88,31.02,13.53,1.55,690,51.91,1.18,3.37,1.7,11.14,18.17,8.23,12.73,0.7,0.87,73.84,70.07,9.94,14.12,-0.89,1.61,0.42,0.29,0,0
Canada,35,1777.9,50970,1483.59,42530,0.6,16,33,2,1,91.76,55.37,84.18,2.55,37.46,28,12,65.53,0,0,34.63,70.1,0,76.09,0,5.37,1.85,108.55,0,2.85,3.69,1.62,4.12,0.25,0.08,0.04,0.02
Central African Republic,5,2.2,490,3.9,860,2.1,6,13,6,2,456.05,422.28,8.62,16.5,8.5,1.23,890,25.4,0.37,1.53,1,3.42,9.29,4.75,9.44,0.31,0.29,138.65,101.68,8.38,7.88,-1.3,1.2,0.29,0.31,0,0
Chad,12,9.3,740,16.4,1320,1.9,7,13,5,13,367.75,312.53,12.78,0,0,0,1100,28.74,1.33,17,0.14,3.94,7.23,3.42,5.97,0.28,0.19,86.74,82.5,9.5,8.96,-1.3,1.2,1.32,1.19,0.01,0.01
Chile,17,249.5,14280,372.12,21310,4.6,17,15,0,0,121.37,56.17,70.32,13.64,29.73,11.65,25,27.06,5.7,0,19.34,50.87,43.45,63.78,70.49,3.65,3.64,125.36,162.24,11.97,15,1.21,3.71,1.47,3.96,0.06,1.68
China,1351,7748.9,5740,12435.4,9210,7.3,188,234,3,3,135.46,86.24,68.76,17.65,40.32,3.91,37,38.42,47.2,7.18,9.72,110.35,164.42,112.21,127.37,1.49,3.04,101.68,77.47,40.31,44.69,-0.58,1.92,1.78,7.61,1.18,0.45
"  Hong Kong SAR, China",7,261.6,36560,379.6,53050,0.3,10,8,0,1,72.05,36.15,72.54,14.26,35.41,7.25,0,59.04,0,0,32.56,220.82,321.75,152.62,206.24,4.34,11.38,69.11,64.1,69.81,117.59,1.4,3.9,1.39,0.1,0.01,0
Colombia,48,333.6,6990,482.2,10110,2.6,31,39,1,1,191.2,87.98,52.85,28.92,31.78,8.46,92,32.88,5.56,8.33,4.94,22.39,20.91,20.76,35.12,1.56,2.08,92.7,167.99,9.93,9.71,-0.23,2.27,5.02,3.62,0.19,0.14
"Congo, Dem. Rep.",66,14.8,220,24.5,370,4.3,8,19,31,34,404.85,351.39,7.6,8.41,7.89,1.08,540,24.12,0.71,1.22,0.5,9.22,12.36,3.25,6.27,0.08,0.37,35.19,50.78,1.79,9.05,-1.64,0.86,0.74,0.19,0.01,0
"Congo, Rep.",4,11.1,2550,15.2,3510,1.1,4,7,5,11,330.01,295.26,27.41,8,8.88,1.32,560,30.43,0.14,2.77,0,8.57,21.47,4.78,7.26,0.12,0.43,55.79,33.83,20.68,38.9,-1.01,1.49,0.07,0.83,0,0
Costa Rica,5,42,8740,60.5,12590,3.6,16,21,1,0,108.62,56.79,57.89,29.68,19.37,13.17,40,40.99,4.1,0,1.77,14.05,23.15,24.01,47.41,1.95,1.81,170.87,198.59,13.69,13.18,0.58,3.08,2.69,2.63,0.41,0.12
Cote d'Ivoire,20,24.2,1220,38.8,1960,7,1,4,6,6,365.55,337.31,19.11,17.78,6.44,3.91,400,0,0,0,3.28,13.32,0,14.89,0,1.18,1.44,0,68.04,10.48,16.55,-1.16,1.34,0.18,0.13,0,0
Croatia,4,56.7,13290,84.3,19760,-1.7,3,7,0,0,136.13,54.91,72.26,17.13,29.21,5.3,17,21.93,0,0,7.55,37.02,67.38,31.88,73.78,2.2,2.49,86.1,109.51,21.91,24.56,0.38,2.88,0,0.05,0,0.06
Czech Republic,11,190.6,18130,259.79,24710,-1.5,7,11,0,0,138.45,62.58,88.31,10.04,65.21,5.6,5,48.98,0,0,9.96,58.13,64.1,47.04,55.77,3.03,3.72,80.94,87.01,21.09,20.89,0.95,3.45,0.54,0.37,0.69,0.03
Denmark,6,334.1,59770,242.27,43340,-0.8,2,3,0,0,106.66,64.89,87.19,28.33,26.81,12.53,12,72.59,0,0,75.36,46.79,52.12,135.19,0,6.65,9.55,66.28,0,11.85,25.76,1.86,4.36,0.15,0.07,0.15,0.04
Dominican Republic,10,56.2,5470,101,9820,2.6,9,30,2,4,197.06,128.88,44.51,7.79,8.1,4.53,150,37.25,8.43,0.9,1.42,25.5,20.85,28.98,22.3,1.42,1.17,113.66,106.97,6.48,6.98,-0.36,2.14,5.02,9.78,0.94,0.13
Ecuador,15,80.5,5190,148.5,9590,3.3,16,13,6,2,159.39,82.98,61.05,29.12,16.12,10.5,110,30.25,3.13,8.44,0.69,21.07,32.92,29.27,30.87,1.2,2.2,138.93,93.77,5.47,2.99,-0.76,1.74,3.33,0.74,0.11,0.19
"Egypt, Arab Rep.",81,241.8,3000,536.3,6640,0.5,9,4,0,2,137.53,82.84,63.12,6.4,22.32,5.73,66,8.07,0.55,6.57,3.55,64.74,63.13,51.95,31.27,0.58,0.69,80.25,49.54,24.42,9.78,-0.74,1.76,1.04,0.09,0.02,0
El Salvador,6,22.5,3580,42.8,6790,1,15,17,4,2,278.34,117.85,52.56,15.9,16.85,8.45,81,25.89,0.99,5.36,2.3,42.48,38.58,45.14,38.97,1.35,1.84,106.24,101.01,11.03,12.06,-0.07,2.43,28.31,7.79,2.02,1.09
Eritrea,6,2.8,450,3.4,560,3.6,3,4,0,0,337.74,254.86,0,0,0,0,240,0,0,0,0,131.04,89.69,29.9,13.64,1.18,0.41,22.82,15.2,2.41,4.9,-1.4,1.1,0.08,0,0.07,0
Ethiopia,92,37.4,410,104.2,1140,5.7,24,28,9,7,297.82,252.43,30.24,0,0,0,350,0,0,0,0.84,27.02,0,17.76,0,0.63,0.48,65.73,0,6.93,0,-0.96,1.54,0.87,1.65,0.03,0
Finland,5,254.1,46940,209.15,38630,-0.7,0,0,0,0,123.26,55.59,93.71,22.11,26.4,13.06,5,68.68,0,0,26.05,46.04,63.64,53.02,96.43,4.86,3.24,115.18,151.53,4.27,3.78,1.85,4.35,0,0,0,0
France,66,2742.9,41750,2412.63,36720,-0.5,37,21,0,1,115.59,53.61,82.19,6.47,40.09,10.55,8,61.78,0,0,89.31,62.59,88.29,85.04,116.21,8.42,8.64,135.87,131.63,4.1,4.88,1.21,3.71,0.41,0.21,0.11,0.04
Georgia,5,14.8,3280,26.4,5860,5.3,7,8,0,0,175.47,66.09,61.38,0,0,0,67,6.99,3.21,0.38,1.58,5.17,23.36,7.4,32.83,0.23,0.47,143.15,140.55,10.95,19.04,0.01,2.51,0.31,0.3,1.61,0.08
Germany,82,3603.9,44010,3430.11,41890,0.6,20,22,1,1,101.46,53.67,87.39,2.75,55.38,12.77,7,67.27,0,0,59.5,91.49,117.21,119.42,105.54,5.14,5.34,130.53,90.04,3.87,5.02,1.42,3.92,0.14,0.09,0.09,0.03
Ghana,25,39.3,1550,49.2,1940,5.6,5,8,8,5,249.86,219.92,29.9,8.01,17.52,2.14,350,36.63,11.85,3.96,0.85,16.39,24.18,13.82,14.52,0.86,0.56,84.27,60.05,12.58,14.75,0.14,2.64,1.19,0.77,0.04,0
Greece,11,262.4,23260,287.15,25460,-6.2,21,13,0,0,99.03,45.35,78.38,28.17,32.32,22.37,3,27.76,0,0,5.68,50.5,83.08,46.89,117.98,0.01,2.06,92.85,142.01,1.08,1.67,0.36,2.86,2.18,0.09,0.42,0.03
Guatemala,15,47,3120,74.8,4960,0.4,18,23,3,0,223.35,119.82,42.85,16.42,9.74,2.21,120,24.79,1.67,1.74,1.41,18.23,38.51,19.77,23.4,0.89,0.97,108.45,60.75,13.31,13.33,-0.57,1.93,4.98,13.6,0.4,0.49
Guinea,11,5.3,460,11.3,980,1.3,4,7,5,7,346.71,298.21,5.3,0,0,0,610,27.1,0.32,49.54,0,4.81,23.73,3.38,9.14,0.09,0.02,70.29,38.49,1.35,2.45,-1.19,1.31,0.3,0.1,0,0
Haiti,10,7.7,760,12.6,1240,1.4,15,48,0,4,260.18,231.4,16.35,4.62,22.36,0.77,350,31.61,3.98,17.19,0,29.93,39.16,15.08,14.16,0,0.42,50.38,36.16,5.34,17.61,-1.16,1.34,18.09,2379.12,0.62,13.04
Honduras,8,16.4,2070,30.9,3890,1.4,20,24,4,2,161.62,112.85,46.92,35.26,13.25,4.02,100,21.81,1.33,2.82,2.98,35.22,46.38,34.11,48.05,1.55,1.55,96.85,103.6,22.96,15.8,-0.55,1.95,255.34,4.55,7.81,0.24
Hungary,10,123.2,12390,205.93,20710,-1.4,9,9,0,0,228.64,98.97,80.97,3.94,52.23,12.58,21,26.68,0,0,8.6,38.84,45.75,32.45,65.16,2.88,2.82,83.55,142.44,17.91,35.21,0.74,3.24,0.48,0.17,0.08,0.04
India,1237,1890.4,1530,4749.2,3840,1.9,85,133,28,8,251.13,164.36,30.77,16.6,0.84,4.07,200,22.42,6.77,6.61,15.32,45.82,66.71,28.85,50.6,1.75,3.53,62.95,75.85,19.2,16.07,-0.3,2.2,6.03,2.63,0.47,0.18
Indonesia,247,844,3420,1188,4810,4.9,68,119,11,7,199.12,163.36,41.5,32.04,11.05,1.73,220,40.5,0.94,0,1.76,48.21,34.4,19.45,28.34,0.99,1.47,40.35,82.39,12.34,12.99,-0.46,2.04,1.5,76.03,0.18,0.23
"Iran, Islamic Rep.",76,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34,1.16,NA,NA,NA,NA
Iraq,33,191.2,5870,140.2,4300,5.7,1,7,1,4,295.54,127.1,38.17,20.41,11.77,6.47,63,26.24,0.2,7.77,0,0,0,0,0,0,0,0,0,33.13,34.61,1.45,3.95,0,0.12,0,0
Ireland,5,178.8,38970,164.62,35870,0.7,7,4,1,1,96.9,56.65,85.05,10.9,32.43,20.18,6,64.58,0,0,83.39,77.59,103.06,104.61,204.26,9.69,8.01,134.83,198.2,0.39,0.82,0.59,3.09,0.43,0.05,0.03,0.01
Israel,8,224.7,28930,218,28070,2.8,4,1,1,0,78.56,45.29,75.92,16.99,26.12,24.31,7,44.9,0,0,0,79.02,94.94,77.23,94.81,4.55,4.31,97.74,99.86,19.35,31.72,0.52,3.02,0.3,0.03,0.01,0
Italy,61,2061.3,33840,2002.35,32870,-2.7,24,19,1,1,77.66,41.46,71.76,18.98,32.53,6.64,4,26.35,0,0,33.78,49.87,86.18,74.77,122.11,5.32,6.62,149.93,141.68,4.05,6.01,1.17,3.67,0.38,0.66,0.21,0.1
Japan,128,6105.8,47870,4629.66,36290,2.1,47,55,1,0,84.85,41.83,80.15,13.95,30.33,24.01,5,63.34,0,0,74.4,228.41,222.13,190.81,105.04,6.93,1.56,83.54,47.29,20.47,20.84,-0.12,2.38,4.66,16.27,0.32,0.58
Jordan,6,29.9,4720,38.8,6130,0.6,5,0,0,0,141.18,97.62,63.69,7.96,38.03,6.38,63,18.18,1.05,0,4.75,90.45,100.25,71.87,73.43,1.46,1.6,79.45,73.25,45.36,39.81,-0.59,1.91,0.35,0,0,0
Kazakhstan,17,163.5,9730,200.7,11950,3.5,4,7,3,0,360.75,144.6,77.66,3.2,39.5,11.81,51,21.93,1.86,1.5,1.35,11.05,29.11,11.15,36.96,0.31,0.57,100.9,126.96,17.6,15.2,-0.69,1.81,0.81,0.32,0.02,0.02
Kenya,43,36.2,840,76.1,1760,1.5,11,34,18,12,369.54,348.35,29.36,40.65,0.63,2,360,40.14,5.36,3.33,7.63,29.85,45.95,25.82,37.96,1.96,2.64,86.51,82.62,10.89,13.82,0.76,3.26,1.01,2.25,0.01,0.07
"Korea, Rep.",50,1133.8,22670,1548.73,30970,1.6,25,21,2,1,84.2,38.86,78.47,10.18,36.78,17.92,16,64.5,0,0,40.5,65.52,74.72,75.8,99.84,10.81,11.93,115.69,133.63,25.02,28.31,-0.83,1.67,2.51,0.73,0.22,0.07
Kyrgyz Republic,6,5.5,990,12.6,2260,-2.1,2,9,2,1,304.58,130.25,54.9,10.07,35.86,8.43,71,36.44,0,2.72,0.37,5.04,0,4.1,0,0.09,0.21,81.3,0,28.22,31.61,-0.91,1.59,0.02,1.52,0.03,0.01
Lao PDR,7,8.4,1260,18.1,2730,6.1,11,5,4,1,203.33,162.42,37.66,20.82,5.72,3.18,470,54.47,4.51,4.6,0,15.97,32.73,7.86,23.27,0.23,0.44,49.23,71.1,13.81,14.85,-0.64,1.86,1.56,1.3,2.38,0.18
